x: -0.187764, y: 0.440227, z: -0.806507, roll: 0.140975, pitch: 0.090612, yaw: 0.085877
x: -0.227005, y: 0.441674, z: -0.801707, roll: 0.142843, pitch: 0.109334, yaw: 0.086398
x: -0.212767, y: 0.547776, z: -0.761391, roll: 0.201920, pitch: 0.097381, yaw: 0.093237
x: -0.087002, y: 0.340445, z: -0.850167, roll: 0.078236, pitch: 0.049565, yaw: 0.074009
x: -0.072586, y: 0.336926, z: -0.851216, roll: 0.077247, pitch: 0.041896, yaw: 0.081399
x: -0.794952, y: 0.970073, z: -0.325707, roll: 0.540397, pitch: 0.307819, yaw: 0.260979
x: -0.758174, y: 0.970361, z: -0.346402, roll: 0.534478, pitch: 0.287656, yaw: 0.256522
x: -0.805802, y: 0.964670, z: -0.321517, roll: 0.538568, pitch: 0.320062, yaw: 0.254604
x: -0.786732, y: 0.949965, z: -0.345271, roll: 0.524692, pitch: 0.313737, yaw: 0.246175
x: -0.780671, y: 0.961904, z: -0.336143, roll: 0.534730, pitch: 0.301524, yaw: 0.258593
x: 0.053157, y: 1.324704, z: -0.191505, roll: 0.680585, pitch: -0.079634, yaw: 0.069762
x: -0.094913, y: 0.322084, z: -0.854749, roll: 0.068467, pitch: 0.055238, yaw: 0.067469
x: -0.199746, y: 0.436382, z: -0.806297, roll: 0.139693, pitch: 0.096198, yaw: 0.088808
x: -0.202734, y: 0.406031, z: -0.817099, roll: 0.121576, pitch: 0.100588, yaw: 0.083133
x: -0.089432, y: 0.318302, z: -0.855800, roll: 0.066259, pitch: 0.052488, yaw: 0.069826
x: -0.760250, y: 0.959391, z: -0.347371, roll: 0.530018, pitch: 0.287073, yaw: 0.259902
x: -0.178232, y: 0.404359, z: -0.820820, roll: 0.119823, pitch: 0.089662, yaw: 0.080039
x: -0.774713, y: 0.954468, z: -0.352479, roll: 0.523505, pitch: 0.303603, yaw: 0.248845
x: -0.212237, y: 0.493184, z: -0.783376, roll: 0.172646, pitch: 0.099010, yaw: 0.094933
x: -0.833182, y: 0.960558, z: -0.309114, roll: 0.542089, pitch: 0.335625, yaw: 0.257990
x: -0.342246, y: 0.529545, z: -0.747372, roll: 0.197488, pitch: 0.166118, yaw: 0.086005
x: -0.783111, y: 0.958304, z: -0.336043, roll: 0.531944, pitch: 0.305066, yaw: 0.255568
x: -0.800660, y: 0.973007, z: -0.316742, roll: 0.545046, pitch: 0.313219, yaw: 0.259841
x: -0.753990, y: 0.958312, z: -0.356745, roll: 0.525676, pitch: 0.284779, yaw: 0.256382
x: -0.095889, y: 0.372732, z: -0.836941, roll: 0.099124, pitch: 0.048139, yaw: 0.088744
x: -0.130984, y: 0.522918, z: -0.779063, roll: 0.186186, pitch: 0.052165, yaw: 0.109407
x: -0.209359, y: 0.442224, z: -0.803194, roll: 0.143210, pitch: 0.102205, yaw: 0.084242
x: -0.127800, y: 0.416011, z: -0.820391, roll: 0.124812, pitch: 0.064913, yaw: 0.076272
x: -0.096625, y: 0.408145, z: -0.824219, roll: 0.120405, pitch: 0.047937, yaw: 0.086030
x: -0.097532, y: 0.330417, z: -0.851604, roll: 0.074496, pitch: 0.053900, yaw: 0.078849
x: -0.065143, y: 0.602299, z: -0.751217, roll: 0.224439, pitch: 0.016236, yaw: 0.106987
x: -0.757666, y: 0.962620, z: -0.348897, roll: 0.530582, pitch: 0.287649, yaw: 0.256449
x: -0.790063, y: 0.947036, z: -0.344629, roll: 0.526123, pitch: 0.305414, yaw: 0.260857
x: 0.026941, y: 0.544894, z: -0.779674, roll: 0.189052, pitch: -0.024391, yaw: 0.102441
x: -0.205069, y: 0.487026, z: -0.785936, roll: 0.168257, pitch: 0.098310, yaw: 0.086424
x: -0.202715, y: 0.485128, z: -0.788305, roll: 0.167300, pitch: 0.095875, yaw: 0.091126
x: -0.208596, y: 0.452790, z: -0.798509, roll: 0.148676, pitch: 0.102493, yaw: 0.082271
x: -0.233522, y: 0.452002, z: -0.796476, roll: 0.149910, pitch: 0.113390, yaw: 0.087735
x: -0.231007, y: 0.450838, z: -0.797136, roll: 0.148877, pitch: 0.112524, yaw: 0.084419
x: -0.241270, y: 0.451427, z: -0.795127, roll: 0.149314, pitch: 0.118584, yaw: 0.083156
x: -0.094009, y: 0.311771, z: -0.859937, roll: 0.061331, pitch: 0.053151, yaw: 0.079252
x: -0.249327, y: 0.548501, z: -0.747970, roll: 0.207725, pitch: 0.122675, yaw: 0.083893
x: -0.214554, y: 0.444862, z: -0.800902, roll: 0.144788, pitch: 0.105799, yaw: 0.082370
x: -0.081676, y: 0.305994, z: -0.860638, roll: 0.058635, pitch: 0.047491, yaw: 0.079398
x: -0.363468, y: 0.677361, z: -0.668557, roll: 0.287109, pitch: 0.171485, yaw: 0.099524
x: -0.143668, y: 0.376555, z: -0.833700, roll: 0.101790, pitch: 0.075476, yaw: 0.075248
x: -0.285547, y: 0.501955, z: -0.769150, roll: 0.179511, pitch: 0.136971, yaw: 0.088214
x: -0.220454, y: 0.412672, z: -0.812355, roll: 0.126202, pitch: 0.108787, yaw: 0.086478
x: -0.202048, y: 0.455186, z: -0.798309, roll: 0.149967, pitch: 0.097294, yaw: 0.088521
x: -0.212832, y: 0.443614, z: -0.802391, roll: 0.142534, pitch: 0.105893, yaw: 0.078261
x: -0.089662, y: 0.367521, z: -0.840881, roll: 0.094973, pitch: 0.047182, yaw: 0.088535
x: -0.212877, y: 0.455930, z: -0.796775, roll: 0.151332, pitch: 0.101794, yaw: 0.090777
x: -0.229509, y: 0.518728, z: -0.770147, roll: 0.187231, pitch: 0.107340, yaw: 0.093853
x: -0.143954, y: 0.344542, z: -0.844938, roll: 0.082218, pitch: 0.077887, yaw: 0.072190
x: -0.090734, y: 0.303197, z: -0.861290, roll: 0.056070, pitch: 0.054275, yaw: 0.069592
x: -0.197307, y: 0.413107, z: -0.815746, roll: 0.124611, pitch: 0.099845, yaw: 0.077711
x: -0.169732, y: 0.359761, z: -0.837213, roll: 0.092752, pitch: 0.087841, yaw: 0.078673
x: -0.245683, y: 0.449523, z: -0.795307, roll: 0.149070, pitch: 0.119047, yaw: 0.088575
x: -0.754837, y: 0.961289, z: -0.349500, roll: 0.529830, pitch: 0.285446, yaw: 0.257608
x: -0.789246, y: 0.980172, z: -0.318012, roll: 0.548461, pitch: 0.299221, yaw: 0.268193
x: -0.735703, y: 0.935562, z: -0.383383, roll: 0.501237, pitch: 0.288397, yaw: 0.234429
x: -0.627752, y: 0.773129, z: -0.536258, roll: 0.381042, pitch: 0.262206, yaw: 0.183219
x: -0.758055, y: 0.948023, z: -0.358536, roll: 0.517453, pitch: 0.294885, yaw: 0.246014
x: -0.359947, y: 0.548149, z: -0.730536, roll: 0.216616, pitch: 0.161870, yaw: 0.115513
x: -0.497705, y: 0.701543, z: -0.628136, roll: 0.319544, pitch: 0.201308, yaw: 0.180661
x: -0.479828, y: 0.628353, z: -0.664010, roll: 0.275591, pitch: 0.207735, yaw: 0.148415
